GAUSSIAN NOISE:
[Hybrid] Step 2600: Loss = 1.6074, W = 2.7702, b = 1.9842, LR = 0.000046
[Squared] Step 2700: Loss = 2.0365, W = 2.7723, b = 1.9837, LR = 0.000001
[Huber] Step 2700: Loss = 0.7591, W = 2.7585, b = 1.9875, LR = 0.000001
[Hybrid] Step 2700: Loss = 1.6073, W = 2.7702, b = 1.9842, LR = 0.000013
[Squared] Step 2800: Loss = 2.0365, W = 2.7723, b = 1.9837, LR = 0.000022
[Huber] Step 2800: Loss = 0.7590, W = 2.7585, b = 1.9875, LR = 0.000036
[Hybrid] Step 2800: Loss = 1.6073, W = 2.7703, b = 1.9842, LR = 0.000001
[Squared] Step 2900: Loss = 2.0365, W = 2.7724, b = 1.9837, LR = 0.000022
[Huber] Step 2900: Loss = 0.7591, W = 2.7585, b = 1.9875, LR = 0.000010
[Hybrid] Step 2900: Loss = 1.6073, W = 2.7703, b = 1.9842, LR = 0.000098
[Squared] Step 3000: Loss = 2.0365, W = 2.7724, b = 1.9837, LR = 0.000001
[Huber] Step 3000: Loss = 0.7590, W = 2.7585, b = 1.9875, LR = 0.000080
[Hybrid] Step 3000: Loss = 1.6073, W = 2.7703, b = 1.9842, LR = 0.000001
[Squared] Step 3100: Loss = 2.0367, W = 2.7724, b = 1.9837, LR = 0.000001
[Huber] Step 3100: Loss = 0.7590, W = 2.7585, b = 1.9875, LR = 0.000056
[Hybrid] Step 3100: Loss = 1.6074, W = 2.7703, b = 1.9842, LR = 0.000048
[Squared] Step 3200: Loss = 2.0365, W = 2.7724, b = 1.9838, LR = 0.000095
[Huber] Step 3200: Loss = 0.7590, W = 2.7586, b = 1.9876, LR = 0.000041
[Hybrid] Step 3200: Loss = 1.6073, W = 2.7703, b = 1.9843, LR = 0.000001
[Squared] Step 3300: Loss = 2.0366, W = 2.7724, b = 1.9838, LR = 0.000082
[Huber] Step 3300: Loss = 0.7591, W = 2.7586, b = 1.9876, LR = 0.000055
[Hybrid] Step 3300: Loss = 1.6073, W = 2.7703, b = 1.9843, LR = 0.000081
[Squared] Step 3400: Loss = 2.0365, W = 2.7724, b = 1.9838, LR = 0.000001
[Huber] Step 3400: Loss = 0.7591, W = 2.7586, b = 1.9876, LR = 0.000083
[Hybrid] Step 3400: Loss = 1.6074, W = 2.7703, b = 1.9843, LR = 0.000012
